Season,Round,RaceName,Driver,Team,LapNumber,Stint,Compound,PitDuration_s
2024,9,Canadian Grand Prix,PER,Red Bull Racing,43.0,2.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,PER,Red Bull Racing,52.0,3.0,MEDIUM,
2024,9,Canadian Grand Prix,ALO,Aston Martin,25.0,1.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,ALO,Aston Martin,44.0,2.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,LEC,Ferrari,25.0,1.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,LEC,Ferrari,28.0,2.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,LEC,Ferrari,31.0,3.0,HARD,
2024,9,Canadian Grand Prix,LEC,Ferrari,41.0,4.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,STR,Aston Martin,25.0,1.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,STR,Aston Martin,44.0,2.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,MAG,Haas F1 Team,7.0,1.0,WET,
2024,9,Canadian Grand Prix,MAG,Haas F1 Team,25.0,2.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,MAG,Haas F1 Team,41.0,3.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,MAG,Haas F1 Team,54.0,4.0,MEDIUM,
2024,9,Canadian Grand Prix,TSU,RB,44.0,1.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,ALB,Williams,25.0,1.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,ALB,Williams,44.0,2.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,ZHO,Kick Sauber,24.0,1.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,ZHO,Kick Sauber,44.0,2.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,ZHO,Kick Sauber,52.0,3.0,MEDIUM,
2024,9,Canadian Grand Prix,HUL,Haas F1 Team,12.0,1.0,WET,
2024,9,Canadian Grand Prix,HUL,Haas F1 Team,25.0,2.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,HUL,Haas F1 Team,44.0,3.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,RIC,RB,26.0,1.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,RIC,RB,43.0,2.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,OCO,Alpine,44.0,1.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,NOR,McLaren,26.0,1.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,NOR,McLaren,47.0,2.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,HAM,Mercedes,25.0,1.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,HAM,Mercedes,43.0,2.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,HAM,Mercedes,54.0,3.0,MEDIUM,
